Key,English,French
PROPMOVER_TXT_000002,Male,Garçon
PROPMOVER_TXT_000004,Female,Fille
PROPMOVER_TXT_000006,Small Aibatt,Jeune Aibatt
PROPMOVER_TXT_000008,Aibatt,Aibatt
PROPMOVER_TXT_000010,Captain Aibatt,Capitaine Aibatt
PROPMOVER_TXT_000012,Giant Aibatt,Géant Aibatt
PROPMOVER_TXT_000014,Small Mushpang,Jeune Mushpang
PROPMOVER_TXT_000016,Mushpang,Mushpang
PROPMOVER_TXT_000018,Captain Mushpang,Capitaine Mushpang
PROPMOVER_TXT_000020,Giant Mushpang,Géant Mushpang
PROPMOVER_TXT_000022,Small Burudeng,Jeune Burudeng
PROPMOVER_TXT_000024,Burudeng,Burudeng
PROPMOVER_TXT_000026,Captain Burudeng,Capitaine Burudeng
PROPMOVER_TXT_000028,Giant Burudeng,Géant Burudeng
PROPMOVER_TXT_000030,Small Pukepuke,Jeune Pukepuke
PROPMOVER_TXT_000032,Pukepuke,Pukepuke
PROPMOVER_TXT_000034,Captain Pukepuke,Capitaine Pukepuke
PROPMOVER_TXT_000036,Giant Pukepuke,Géant Pukepuke
PROPMOVER_TXT_000038,Small Peakyturtle,Jeune Peakyturtle
PROPMOVER_TXT_000040,Peakyturtle,Peakyturtle
PROPMOVER_TXT_000042,Captain Peakyturtle,Capitaine Peakyturtle
PROPMOVER_TXT_000044,Giant Peakyturtle,Géant Peakyturtle
PROPMOVER_TXT_000046,Urchin Demian,Jeune Démian
PROPMOVER_TXT_000048,Demian,Démian
PROPMOVER_TXT_000050,Bad Demian,Capitaine Démian
PROPMOVER_TXT_000052,Giant Demian,Géant Démian
PROPMOVER_TXT_000054,Small Doridoma,Jeune Doridoma
PROPMOVER_TXT_000056,Doridoma,Doridoma
PROPMOVER_TXT_000058,Captain Doridoma,Capitaine Doridoma
PROPMOVER_TXT_000060,Giant Doridoma,Géant Doridoma
PROPMOVER_TXT_000062,Young Lawolf,Jeune Lawolf
PROPMOVER_TXT_000064,Lawolf,Lawolf
PROPMOVER_TXT_000066,Grownup Lawolf,Capitaine Lawolf
PROPMOVER_TXT_000068,Giant Lawolf,Géant Lawolf
PROPMOVER_TXT_000070,1st Class Fefern,Jeune Fefern
PROPMOVER_TXT_000072,Fefern,Fefern
PROPMOVER_TXT_000074,2nd Class Fefern,Capitaine Fefern
PROPMOVER_TXT_000076,Giant Fefern,Géant Fefern
PROPMOVER_TXT_000078,Cute Nyangnyang,Jeune Nyangnyang
PROPMOVER_TXT_000080,Nyangnyang,Nyangnyang
PROPMOVER_TXT_000082,Creep Nyangnyang,Capitaine Nyangnyang
PROPMOVER_TXT_000084,Giant Nyangnyang,Géant Nyangnyang
PROPMOVER_TXT_000086,Bang,Jeune Bang
PROPMOVER_TXT_000088,Captain Bang,Bang
PROPMOVER_TXT_000090,Boss Bang,Capitaine Bang
PROPMOVER_TXT_000092,Giant Bang,Géant Bang
PROPMOVER_TXT_000094,Small Wagsaac,Jeune Wagsaac
PROPMOVER_TXT_000096,Wagsaac,Wagsaac
PROPMOVER_TXT_000098,Captain Wagsaac,Capitaine Wagsaac
PROPMOVER_TXT_000100,Giant Wagsaac,Géant Wagsaac
PROPMOVER_TXT_000102,Small Mia,Petite Mia
PROPMOVER_TXT_000104,Mia,Mia
PROPMOVER_TXT_000106,Captain Mia,Capitaine Mia
PROPMOVER_TXT_000108,Giant Mia,Géant Mia
PROPMOVER_TXT_000110,Stale Mr. Pumpkin,Jeune Pumpkin
PROPMOVER_TXT_000112,Mr. Pumpkin,Pumpkin
PROPMOVER_TXT_000114,Rotten Mr Pumpkin,Capitaine Pumpkin
PROPMOVER_TXT_000116,Giant Mr. Pumpkin,Géant Pumpkin
PROPMOVER_TXT_000118,Red Mantis C,Jeune Mantis
PROPMOVER_TXT_000120,Red Mantis B,Mantis
PROPMOVER_TXT_000122,Red Mantis A,Capitaine Mantis
PROPMOVER_TXT_000124,Giant Red Mantis,Géant Red Mantis
PROPMOVER_TXT_000126,Small Jack the Hammer,Jeune Jackammer
PROPMOVER_TXT_000128,Jack the Hammer,Jackammer
PROPMOVER_TXT_000130,Captain Jack the Hammer,Capitaine Jackammer
PROPMOVER_TXT_000132,Giant Jack the Hammer,Géant Jackammer
PROPMOVER_TXT_000134,Small Giggle Box,Jeune Gigglebox
PROPMOVER_TXT_000136,Giggle Box,Gigglebox
PROPMOVER_TXT_000138,Captain Giggle Box,Capitaine Gigglebox
PROPMOVER_TXT_000140,Giant Giggle Box,Géant Gigglebox
PROPMOVER_TXT_000142,Small Rock Muscle,Jeune Musclor
PROPMOVER_TXT_000144,Rock Muscle,Musclor
PROPMOVER_TXT_000146,Captain Rock Muscle,Capitaine Musclor
PROPMOVER_TXT_000148,Giant Rock Muscle,Géant Musclor
PROPMOVER_TXT_000150,Small Hobo,Jeune Hobo
PROPMOVER_TXT_000152,Hobo,Hobo
PROPMOVER_TXT_000154,Captain Hobo,Capitaine Hobo
PROPMOVER_TXT_000156,Giant Hobo,Géant Hobo
PROPMOVER_TXT_000158,Small Dumb Bull,Jeune Dumbull
PROPMOVER_TXT_000160,Dumb Bull,Dumbull
PROPMOVER_TXT_000162,Captain Dumb Bull,Capitaine Dumbull
PROPMOVER_TXT_000164,Giant Dumb Bull,Géant Dumbull
PROPMOVER_TXT_000166,Small Totemia,Jeune Totemia
PROPMOVER_TXT_000168,Totemia,Totemia
PROPMOVER_TXT_000170,Captain Totemia,Capitaine Totemia
PROPMOVER_TXT_000172,Giant Totemia,Géant Totemia
PROPMOVER_TXT_000174,Maid Cardpuppet,Jeune Puppet
PROPMOVER_TXT_000176,Cardpuppet,Puppet
PROPMOVER_TXT_000178,Manager Cardpuppet,Capitaine Puppet
PROPMOVER_TXT_000180,Boss Cardpuppet,Géant Puppet
PROPMOVER_TXT_000182,Small Tombstone Bearer,Jeune Tombstone
PROPMOVER_TXT_000184,Tombstone Bearer,Tombstone
PROPMOVER_TXT_000186,Captain Tombstone Bearer,Capitaine Tombstone
PROPMOVER_TXT_000188,Giant Tombstone Bearer,Géant Tombstone
PROPMOVER_TXT_000190,Phantom Basque,Jeune Bask
PROPMOVER_TXT_000192,Basque,Bask
PROPMOVER_TXT_000194,Lumping Basque,Capitaine Bask
PROPMOVER_TXT_000196,Giant Basque,Géant Bask
PROPMOVER_TXT_000198,Small Mage Prankster,Jeune Prankster
PROPMOVER_TXT_000200,Prankster,Prankster
PROPMOVER_TXT_000202,Master Mage Prankster,Capitaine Prankster
PROPMOVER_TXT_000204,Giantmage Prankster,Géant Prankster
PROPMOVER_TXT_000206,Rough Wheelem,Jeune Wheelem
PROPMOVER_TXT_000208,Wheelem,Wheelem
PROPMOVER_TXT_000210,Bouncing Wheelem,Capitaine Wheelem
PROPMOVER_TXT_000212,Giant Wheelem,Géant Wheelem
PROPMOVER_TXT_000214,Small Leyena,Jeune Leyena
PROPMOVER_TXT_000216,Leyena,Leyena
PROPMOVER_TXT_000218,Captain Leyena,Capitaine Leyena
PROPMOVER_TXT_000220,Giant Leyena,Géant Leyena
PROPMOVER_TXT_000222,Small Steam Walker,Jeune Steamwalker
PROPMOVER_TXT_000224,Steam Walker,Steamwalker
PROPMOVER_TXT_000226,Captain Steam Walker,Capitaine Steamwalker
PROPMOVER_TXT_000228,Giant Steam Walker,Géant Steamwalker
PROPMOVER_TXT_000230,Small Steel Knight,Jeune Steelknight
PROPMOVER_TXT_000232,Steel Knight,Steelknight
PROPMOVER_TXT_000234,Captain Steel Knight,Capitaine Steelknight
PROPMOVER_TXT_000236,Giant Steel Knight,Géant Steelknight
PROPMOVER_TXT_000238,Small Nutty Wheel,Jeune Nuttywheel
PROPMOVER_TXT_000240,Nutty Wheel,Nuttywheel
PROPMOVER_TXT_000242,Captain Nutty Wheel,Capitaine Nuttywheel
PROPMOVER_TXT_000244,Giant Nutty Wheel,Géant Nuttywheel
PROPMOVER_TXT_000246,Small Driller,Jeune Driller
PROPMOVER_TXT_000248,Driller,Driller
PROPMOVER_TXT_000250,Captain Driller,Capitaine Driller
PROPMOVER_TXT_000252,Giant Driller,Géant Driller
PROPMOVER_TXT_000254,Small Volt,Jeune Volt
PROPMOVER_TXT_000256,Volt,Volt
PROPMOVER_TXT_000258,Captain Volt,Capitaine Volt
PROPMOVER_TXT_000260,Giant Volt,Géant Volt
PROPMOVER_TXT_000262,Small Elderguard,Jeune Eldergard
PROPMOVER_TXT_000264,Elderguard,Eldergard
PROPMOVER_TXT_000266,Captain Elderguard,Capitaine Eldergard
PROPMOVER_TXT_000268,Giant Elderguard,Géant Eldergard
PROPMOVER_TXT_000270,Small Garbagespider,Jeune Garbagespider
PROPMOVER_TXT_000272,Garbagespider,Garbagespider
PROPMOVER_TXT_000274,Captain Garbagespider,Capitaine Garbagespider
PROPMOVER_TXT_000276,Giant Garbagespider,Géant Garbagespider
PROPMOVER_TXT_000278,Small Crane Machinery,Jeune Cranechinery
PROPMOVER_TXT_000280,Crane Machinery,Cranechinery
PROPMOVER_TXT_000282,Captain Crane Machinery,Capitaine Cranechinery
PROPMOVER_TXT_000284,Giant Crane Machinery,Géant Cranechinery
PROPMOVER_TXT_000286,Small Mothbee,Jeune Mothbee
PROPMOVER_TXT_000288,Mothbee,Mothbee
PROPMOVER_TXT_000290,Captain Mothbee,Capitaine Mothbee
PROPMOVER_TXT_000292,Giant Mothbee,Géant Mothbee
PROPMOVER_TXT_000294,Small Flybrigen,Jeune Flybrigen
PROPMOVER_TXT_000296,Flybrigen,Flybrigen
PROPMOVER_TXT_000298,Captain Flybrigen,Capitaine Flybrigen
PROPMOVER_TXT_000300,Giant Flybrigen,Géant Flybrigen
PROPMOVER_TXT_000302,Small Rockepeller,Jeune Rockepeller
PROPMOVER_TXT_000304,Rockepeller,Rockepeller
PROPMOVER_TXT_000306,Captain Rockepeller,Capitaine Rockepeller
PROPMOVER_TXT_000308,Giant Rockepeller,Géant Rockepeller
PROPMOVER_TXT_000318,Pawn Popcrank,Jeune Joker
PROPMOVER_TXT_000320,Knight Popcrank,Joker
PROPMOVER_TXT_000322,Rook Popcrank,Capitaine Joker
PROPMOVER_TXT_000324,Bishop Popcrank,Géant Joker
PROPMOVER_TXT_000326,Small Greemong,Jeune Greemong
PROPMOVER_TXT_000328,Greemong,Greemong
PROPMOVER_TXT_000330,Captain Greemong,Capitaine Greemong
PROPMOVER_TXT_000332,Giant Greemong,Géant Greemong
PROPMOVER_TXT_000336,Roy,Roy
PROPMOVER_TXT_000338,Cardinal Guardian,Cardinal Venel
PROPMOVER_TXT_000350,Small Carrierbomb,Jeune Caboom
PROPMOVER_TXT_000352,Carrierbomb,Caboom
PROPMOVER_TXT_000354,Captain Carrierbomb,Capitaine Caboom
PROPMOVER_TXT_000356,Giant Carrierbomb,Géant Caboom
PROPMOVER_TXT_000382,Clockworks,Clockworks
PROPMOVER_TXT_000392,Small Nuctuvehicle,Jeune Nuctuhicule
PROPMOVER_TXT_000394,Nuctuvehicle,Nuctuhicule
PROPMOVER_TXT_000396,Captain Nuctuvehicle,Capitaine Nuctuhicule
PROPMOVER_TXT_000398,Giant Nuctuvehicle,Géant Nuctuhicule
PROPMOVER_TXT_000400,Young Syliaca,Jeune Syliaca
PROPMOVER_TXT_000402,Syliaca,Syliaca
PROPMOVER_TXT_000404,Grownup Syliaca,Capitaine Syliaca
PROPMOVER_TXT_000406,Giant Syliaca,Géant Syliaca
PROPMOVER_TXT_000408,Small Risem,Jeune Risem
PROPMOVER_TXT_000410,Risem,Risem
PROPMOVER_TXT_000412,Captain Risem,Capitaine Risem
PROPMOVER_TXT_000414,Giant Risem,Géant Risem
PROPMOVER_TXT_000416,Small Zombiger,Jeune Zombiger
PROPMOVER_TXT_000418,Zombiger,Zombiger
PROPMOVER_TXT_000420,Captain Zombiger,Capitaine Zombiger
PROPMOVER_TXT_000422,Giant Zombiger,Géant Zombiger
PROPMOVER_TXT_000424,Small Flybat,Jeune Flybat
PROPMOVER_TXT_000426,Flybat,Flybat
PROPMOVER_TXT_000428,Captain Flybat,Capitaine Flybat
PROPMOVER_TXT_000430,Giant Flybat,Géant Flybat
PROPMOVER_TXT_000432,Small Bucrow,Jeune Bucrow
PROPMOVER_TXT_000434,Bucrow,Bucrow
PROPMOVER_TXT_000436,Captain Bucrow,Capitaine Bucrow
PROPMOVER_TXT_000438,Giant Bucrow,Géant Bucrow
PROPMOVER_TXT_000440,Small Scorpicon,Jeune Scorpic
PROPMOVER_TXT_000442,Scorpicon,Scorpic
PROPMOVER_TXT_000444,Captain Scorpicon,Capitaine Scorpic
PROPMOVER_TXT_000446,Giant Scorpicon,Géant Scorpic
PROPMOVER_TXT_000448,Small Trangfoma,Jeune Trangfoma
PROPMOVER_TXT_000450,Trangfoma,Trangfoma
PROPMOVER_TXT_000452,Captain Trangfoma,Capitaine Trangfoma
PROPMOVER_TXT_000454,Giant Trangfoma,Géant Trangfoma
PROPMOVER_TXT_000456,Mine Catcher,Mine Catcher
PROPMOVER_TXT_000458,Erons Catcher,Erons Catcher
PROPMOVER_TXT_000460,Krasec Catcher,Krasec Catcher
PROPMOVER_TXT_000462,Guru Catcher,Guru Catcher
PROPMOVER_TXT_000464,Small Grrr,Jeune Grrr
PROPMOVER_TXT_000466,Grrr,Grrr
PROPMOVER_TXT_000468,Captain Grrr,Capitaine Grrr
PROPMOVER_TXT_000470,Giant Grrr,Géant Grrr
PROPMOVER_TXT_000472,Small Dump,Jeune Dump
PROPMOVER_TXT_000474,Dump,Dump
PROPMOVER_TXT_000476,Captain Dump,Capitaine Dump
PROPMOVER_TXT_000478,Giant Dump,Géant Dump
PROPMOVER_TXT_000480,Small Nautrepy,Jeune Nautrepy
PROPMOVER_TXT_000482,Nautrepy,Nautrepy
PROPMOVER_TXT_000484,Captain Nautrepy,Capitaine Nautrepy
PROPMOVER_TXT_000486,Giant Nautrepy,Géant Nautrepy
PROPMOVER_TXT_000488,Small Boo,Jeune Boo
PROPMOVER_TXT_000490,Boo,Boo
PROPMOVER_TXT_000492,Captain Boo,Capitaine Boo
PROPMOVER_TXT_000494,Giant Boo,Géant Boo
PROPMOVER_TXT_000496,Small Hoppre,Jeune Hoppre
PROPMOVER_TXT_000498,Hoppre,Hoppre
PROPMOVER_TXT_000500,Captain Hoppre,Capitaine Hoppre
PROPMOVER_TXT_000502,Giant Hoppre,Géant Hoppre
PROPMOVER_TXT_000504,Small Mushpoie,Jeune Mushpoie
PROPMOVER_TXT_000506,Mushpoie,Mushpoie
